Year	Team1Team	Team1Score	Team1Rank	Team1	Team2Team	Team2Score	Team2Rank2	team2	entry	RankDiff	ScoreDiff
1984	Virginia Commonwealth	70	6	No. 6 Virginia Commonwealth 70	Northeastern	69	11	No. 11 Northeastern 69	FIRST ROUND	-5	1
1984	Virginia	53	7	No. 7 Virginia 53	Arkansas	51	2	No. 2 Arkansas 51	SECOND ROUND	5	2
1984	Virginia	63	7	"Virginia 63	Syracuse	55	3	 Syracuse 55	REGIONAL SEMIFINALS	
2011	Butler	74	8	Butler 74"	Florida	71	2	 Florida 71	REGIONAL FINALS	5	-8
1984	Virginia	50	7	"Virginia 50	Indiana	48	4	 Indiana 48	REGIONAL FINALS	
1984	Illinois	72	2	Illinois 72"	Maryland	70	3	 Maryland 70	REGIONAL SEMIFINALS	4	-20
1984	Virginia	58	7	No. 7 Virginia 58	Iona	57	10	No. 10 Iona 57	FIRST ROUND	-3	1
1984	Villanova	84	7	No. 7 Villanova 84	Marshall	72	10	No. 10 Marshall 72	FIRST ROUND	-3	12
1984	Temple	65	8	No. 8 Temple 65	St. John's	63	9	No. 9 St. John's 63	FIRST ROUND	-1	2
1984	Illinois State	49	8	No. 8 Illinois State 49	Alabama	48	9	No. 9 Alabama 48	FIRST ROUND	-1	1
1984	Brigham Young	84	8	No. 8 Brigham Young 84	UAB	68	9	No. 9 UAB 68	FIRST ROUND	-1	16
1984	Southern Methodist	83	9	No. 9 Southern Methodist 83	Miami (Ohio)	69	8	No. 8 Miami (Ohio) 69	FIRST ROUND	1	14
1984	Dayton	89	10	No. 10 Dayton 89	Oklahoma	85	2	No. 2 Oklahoma 85	SECOND ROUND	8	4
1984	Dayton	74	10	No. 10 Dayton 74	Louisiana State	66	7	No. 7 Louisiana State 66	FIRST ROUND	3	8
1984	Louisiana Tech	66	10	No. 10 Louisiana Tech 66	Fresno State	56	7	No. 7 Fresno State 56	FIRST ROUND	3	10
1984	Dayton	64	10	"Dayton 64	Washington	58	6	 Washington 58	REGIONAL SEMIFINALS	
2008	UCLA	51	1	UCLA 51"	Texas A&M;	49	9	 Texas A&M; 49	SECOND ROUND	1	15
1984	Northeastern	90	11	"Northeastern 90	Long Island	87	NA	 Long Island 87	NATIONAL CHAMPIONSHIP	
2005	Utah	67	6	Utah 67"	Oklahoma	58	3	 Oklahoma 58	SECOND ROUND	8	32
1984	West Virginia	64	11	No. 11 West Virginia 64	Oregon State	62	6	No. 6 Oregon State 62	FIRST ROUND	5	2
1984	Richmond	89	12	"Richmond 89	Rider (N.J.)	65	NA	 Rider (N.J.) 65	NATIONAL CHAMPIONSHIP	
2005	Illinois	72	1	Illinois 72"	Louisville	57	4	 Louisville 57	NATIONAL SEMIFINALS	8	32
1984	Richmond	72	12	No. 12 Richmond 72	Auburn	71	5	No. 5 Auburn 71	FIRST ROUND	7	1
1984	Princeton	65	12	"Princeton 65	San Diego	56	NA	 San Diego 56	NATIONAL CHAMPIONSHIP	
1990	Connecticut	71	1	Connecticut 71"	Clemson	70	5	 Clemson 70	REGIONAL SEMIFINALS	7	-5
1984	Alcorn State	79	12	"Alcorn State 79	Houston Baptist	60	NA	 Houston Baptist 60	NATIONAL CHAMPIONSHIP	
1987	Duke	65	5	Duke 65"	Xavier	60	13	 Xavier 60	SECOND ROUND	-1	19
1985	Georgetown	65	1	"Georgetown 65	Loyola (Ill.)	53	4	 Loyola (Ill.) 53	REGIONAL SEMIFINALS	
2004	Connecticut	79	2	Connecticut 79"	Duke	78	1	 Duke 78	NATIONAL SEMIFINALS	0	-13
1985	St. John's	68	1	"St. John's 68	Arkansas	65	9	 Arkansas 65	SECOND ROUND	
1988	Michigan	108	3	Michigan 108"	Florida	85	6	 Florida 85	SECOND ROUND	-5	-17
1985	Georgetown	63	1	"Georgetown 63	Temple	46	8	 Temple 46	SECOND ROUND	
1993	Cincinnati	92	2	Cincinnati 92"	New Mexico State	55	7	 New Mexico State 55	SECOND ROUND	-6	8
1985	Georgetown	60	1	"Georgetown 60	Georgia Tech	54	2	 Georgia Tech 54	REGIONAL FINALS	
1998	Kentucky	88	2	Kentucky 88"	Saint Louis	61	10	 Saint Louis 61	SECOND ROUND	-9	-1
1985	St. John's	83	1	No. 1 St. John's 83	Southern (La.)	59	16	No. 16 Southern (La.) 59	FIRST ROUND	-15	24
1985	Oklahoma	96	1	No. 1 Oklahoma 96	North Carolina A&T;	83	16	No. 16 North Carolina A&T; 83	FIRST ROUND	-15	13
1985	Georgetown	68	1	No. 1 Georgetown 68	Lehigh	43	16	No. 16 Lehigh 43	FIRST ROUND	-15	25
1985	Michigan	59	1	No. 1 Michigan 59	Fairleigh Dickinson	55	16	No. 16 Fairleigh Dickinson 55	FIRST ROUND	-15	4
1985	Georgia Tech	70	2	"Georgia Tech 70	Syracuse	53	7	 Syracuse 53	SECOND ROUND	
2004	Duke	72	1	Duke 72"	Illinois	62	5	 Illinois 62	REGIONAL SEMIFINALS	-3	8
1985	Memphis State	63	2	"Memphis State 63	Oklahoma	61	1	 Oklahoma 61	REGIONAL FINALS	
2011	Connecticut	69	3	Connecticut 69"	Cincinnati	58	6	 Cincinnati 58	THIRD ROUND	-4	5
1985	Georgia Tech	61	2	"Georgia Tech 61	Illinois	53	3	 Illinois 53	REGIONAL SEMIFINALS	
1997	Utah	77	2	Utah 77"	UNC Charlotte	58	7	 UNC Charlotte 58	SECOND ROUND	-5	3
1985	Memphis State	59	2	"Memphis State 59	Boston College	57	11	 Boston College 57	REGIONAL SEMIFINALS	
1993	Kentucky	83	1	Kentucky 83"	Utah	62	8	 Utah 62	SECOND ROUND	-6	-3
1985	Memphis State	67	2	No. 2 Memphis State 67	Pennsylvania	55	15	No. 15 Pennsylvania 55	FIRST ROUND	-13	12
1985	Georgia Tech	65	2	No. 2 Georgia Tech 65	Mercer	58	15	No. 15 Mercer 58	FIRST ROUND	-13	7
1985	Virginia Commonwealth	81	2	No. 2 Virginia Commonwealth 81	Marshall	65	15	No. 15 Marshall 65	FIRST ROUND	-13	16
1985	North Carolina	76	2	No. 2 North Carolina 76	Middle Tennessee State	57	15	No. 15 Middle Tennessee State 57	FIRST ROUND	-13	19
1985	North Carolina State	86	3	"North Carolina State 86	Texas-El Paso	73	11	 Texas-El Paso 73	SECOND ROUND	
1993	Kansas	83	2	Kansas 83"	Indiana	77	1	 Indiana 77	REGIONAL FINALS	2	9
1985	North Carolina State	61	3	"North Carolina State 61	Alabama	55	7	 Alabama 55	REGIONAL SEMIFINALS	
2008	Washington State	61	4	Washington State 61"	Notre Dame	41	5	 Notre Dame 41	SECOND ROUND	-2	20
1985	North Carolina State	65	3	No. 3 North Carolina State 65	Nevada-Reno	56	14	No. 14 Nevada-Reno 56	FIRST ROUND	-11	9
1985	Illinois	76	3	No. 3 Illinois 76	Northeastern	57	14	No. 14 Northeastern 57	FIRST ROUND	-11	19
1985	Kansas	49	3	No. 3 Kansas 49	Ohio University	38	14	No. 14 Ohio University 38	FIRST ROUND	-11	11
1985	Duke	75	3	No. 3 Duke 75	Pepperdine	62	14	No. 14 Pepperdine 62	FIRST ROUND	-11	13
1985	Loyola (Ill.)	70	4	"Loyola (Ill.) 70	Southern Methodist	57	5	 Southern Methodist 57	SECOND ROUND	
2009	Villanova	89	3	Villanova 89"	UCLA	69	6	 UCLA 69	SECOND ROUND	-2	1
1985	Loyola (Ill.)	59	4	No. 4 Loyola (Ill.) 59	Iona	58	13	No. 13 Iona 58	FIRST ROUND	-9	1
1985	Ohio State	75	4	No. 4 Ohio State 75	Iowa State	64	13	No. 13 Iowa State 64	FIRST ROUND	-9	11
1985	UNLV	85	4	No. 4 UNLV 85	San Diego State	80	13	No. 13 San Diego State 80	FIRST ROUND	-9	5
1985	Louisiana Tech	79	5	"Louisiana Tech 79	Ohio State	67	4	 Ohio State 67	SECOND ROUND	
1991	Ohio State	65	1	Ohio State 65"	Georgia Tech	61	8	 Georgia Tech 61	SECOND ROUND	-3	18
1985	Maryland	69	5	No. 5 Maryland 69	Miami (Ohio)	68	12	No. 12 Miami (Ohio) 68	FIRST ROUND	-7	1
1985	Southern Methodist	85	5	No. 5 Southern Methodist 85	Old Dominion	68	12	No. 12 Old Dominion 68	FIRST ROUND	-7	17
1985	Louisiana Tech	78	5	No. 5 Louisiana Tech 78	Pittsburgh	54	12	No. 12 Pittsburgh 54	FIRST ROUND	-7	24
1985	Georgia	67	6	No. 6 Georgia 67	Wichita State	59	11	No. 11 Wichita State 59	FIRST ROUND	-5	8
1985	Notre Dame	79	7	No. 7 Notre Dame 79	Oregon State	70	10	No. 10 Oregon State 70	FIRST ROUND	-3	9
1985	Syracuse	70	7	No. 7 Syracuse 70	DePaul	65	10	No. 10 DePaul 65	FIRST ROUND	-3	5
1985	Ala.-Birmingham	70	7	No. 7 Ala.-Birmingham 70	Michigan State	68	10	No. 10 Michigan State 68	FIRST ROUND	-3	2
1985	Alabama	50	7	No. 7 Alabama 50	Arizona	41	10	No. 10 Arizona 41	FIRST ROUND	-3	9
1985	Villanova	52	8	"Villanova 52	Memphis State	45	2	 Memphis State 45	NATIONAL SEMIFINALS	
2009	Villanova	78	3	Villanova 78"	Pittsburgh	76	1	 Pittsburgh 76	REGIONAL FINALS	7	-24
1985	Villanova	46	8	"Villanova 46	Maryland	43	5	 Maryland 43	REGIONAL SEMIFINALS	
1996	Cincinnati	87	2	Cincinnati 87"	Georgia Tech	70	3	 Georgia Tech 70	REGIONAL SEMIFINALS	5	-24
1985	Villanova	51	8	No. 8 Villanova 51	Dayton	49	9	No. 9 Dayton 49	FIRST ROUND	-1	2
1985	Temple	60	8	No. 8 Temple 60	Virginia Tech	57	9	No. 9 Virginia Tech 57	FIRST ROUND	-1	3
1985	Arkansas	63	9	No. 9 Arkansas 63	Iowa	54	8	No. 8 Iowa 54	FIRST ROUND	1	9
1985	Illinois State	58	9	No. 9 Illinois State 58	Southern Cal	55	8	No. 8 Southern Cal 55	FIRST ROUND	1	3
1985	Auburn	66	11	"Auburn 66	Kansas	64	3	 Kansas 64	SECOND ROUND	
2005	Villanova	76	5	Villanova 76"	Florida	65	4	 Florida 65	SECOND ROUND	7	1
1985	Texas-El Paso	79	11	No. 11 Texas-El Paso 79	Tulsa	75	6	No. 6 Tulsa 75	FIRST ROUND	5	4
1985	Boston College	55	11	No. 11 Boston College 55	Texas Tech	53	6	No. 6 Texas Tech 53	FIRST ROUND	5	2
1985	Auburn	59	11	No. 11 Auburn 59	Purdue	58	6	No. 6 Purdue 58	FIRST ROUND	5	1
1985	Kentucky	66	12	No. 12 Kentucky 66	Washington	58	5	No. 5 Washington 58	FIRST ROUND	7	8
1985	Kentucky	64	12	"Kentucky 64	UNLV	61	4	 UNLV 61	SECOND ROUND	
1988	Oklahoma	78	1	Oklahoma 78"	Villanova	59	6	 Villanova 59	REGIONAL FINALS	6	5
1985	Navy	78	13	No. 13 Navy 78	Louisiana State	55	4	No. 4 Louisiana State 55	FIRST ROUND	9	23
1986	Kansas	65	1	"Kansas 65	Temple	43	9	 Temple 43	SECOND ROUND	
2001	Arizona	87	2	Arizona 87"	Illinois	81	1	 Illinois 81	REGIONAL FINALS	0	-16
1986	Duke	74	1	"Duke 74	DePaul	67	12	 DePaul 67	REGIONAL SEMIFINALS	
2010	Tennessee	76	6	Tennessee 76"	Ohio State	73	2	 Ohio State 73	REGIONAL SEMIFINALS	-1	1
1986	Duke	89	1	"Duke 89	Old Dominion	61	8	 Old Dominion 61	SECOND ROUND	
1994	Indiana	67	5	Indiana 67"	Temple	58	4	 Temple 58	SECOND ROUND	-3	31
1986	Duke	71	1	"Duke 71	Navy	50	7	 Navy 50	REGIONAL FINALS	
2009	Pittsburgh	84	1	Pittsburgh 84"	Oklahoma State	76	8	 Oklahoma State 76	SECOND ROUND	-7	-5
1986	Kansas	75	1	"Kansas 75	N.C. State	67	NA	 N.C. State 67	REGIONAL FINALS	
1994	Arkansas	85	1	Arkansas 85"	Georgetown	73	9	 Georgetown 73	SECOND ROUND	-8	2
1986	Kansas	96	1	"Kansas 96	Michigan State	86	5	 Michigan State 86	REGIONAL SEMIFINALS	
2010	Ohio State	75	2	Ohio State 75"	Georgia Tech	66	10	 Georgia Tech 66	SECOND ROUND	-9	30
1986	Kansas	71	1	No. 1 Kansas 71	North Carolina A&T	46	16	No. 16 North Carolina A&T 46	FIRST ROUND	-15	25
1986	Kentucky	75	1	No. 1 Kentucky 75	Davidson	55	16	No. 16 Davidson 55	FIRST ROUND	-15	20
1986	St. John's	83	1	No. 1 St. John's 83	Montana State	74	16	No. 16 Montana State 74	FIRST ROUND	-15	9
1986	Duke	85	1	No. 1 Duke 85	Mississippi Valley State	78	16	No. 16 Mississippi Valley State 78	FIRST ROUND	-15	7
1986	Georgia Tech	66	2	"Georgia Tech 66	Villanova	61	10	 Villanova 61	SECOND ROUND	
2006	Washington D.C.		NA	Washington D.C. "	Villanova	61	1	 Villanova 61	REGIONAL FINALS	1	5
1986	Louisville	84	2	"Louisville 84	Auburn	76	8	 Auburn 76	REGIONAL FINALS	
1982	North Carolina	63	1	North Carolina 63"	Georgetown	62	1	 Georgetown 62	NATIONAL CHAMPIONSHIP	1	22
1986	Louisville	94	2	"Louisville 94	North Carolina	79	3	 North Carolina 79	REGIONAL SEMIFINALS	
1980	Purdue	68	6	Purdue 68"	Duke	60	4	 Duke 60	REGIONAL FINALS	-2	34
1986	Michigan	70	2	No. 2 Michigan 70	Akron	64	15	No. 15 Akron 64	FIRST ROUND	-13	6
1986	Syracuse	101	2	No. 2 Syracuse 101	Brown	52	15	No. 15 Brown 52	FIRST ROUND	-13	49
1986	Louisville	93	2	No. 2 Louisville 93	Drexel	73	15	No. 15 Drexel 73	FIRST ROUND	-13	20
1986	Georgia Tech	68	2	No. 2 Georgia Tech 68	Marist	53	15	No. 15 Marist 53	FIRST ROUND	-13	15
1986	Memphis State	95	3	No. 3 Memphis State 95	Ball State	63	14	No. 14 Ball State 63	FIRST ROUND	-11	32
1986	North Carolina	84	3	No. 3 North Carolina 84	Utah	72	14	No. 14 Utah 72	FIRST ROUND	-11	12
1986	Oklahoma	80	4	No. 4 Oklahoma 80	Northeastern	74	13	No. 13 Northeastern 74	FIRST ROUND	-9	6
1986	UNLV	74	4	No. 4 UNLV 74	Northeast Louisiana	51	13	No. 13 Northeast Louisiana 51	FIRST ROUND	-9	23
1986	Illinois	75	4	No. 4 Illinois 75	Fairfield	51	13	No. 13 Fairfield 51	FIRST ROUND	-9	24
1986	Georgetown	70	4	No. 4 Georgetown 70	Texas Tech	64	13	No. 13 Texas Tech 64	FIRST ROUND	-9	6
1986	Maryland	69	5	No. 5 Maryland 69	Pepperdine	64	12	No. 12 Pepperdine 64	FIRST ROUND	-7	5
1986	Michigan State	72	5	No. 5 Michigan State 72	Washington	70	12	No. 12 Washington 70	FIRST ROUND	-7	2
1986	Alabama	97	5	No. 5 Alabama 97	Xavier	80	12	No. 12 Xavier 80	FIRST ROUND	-7	17
1986	North Carolina State	70	6	"North Carolina State 70	Iowa State	66	7	 Iowa State 66	REGIONAL SEMIFINALS	
1980	UCLA	85	8	UCLA 85"	Clemson	74	6	 Clemson 74	REGIONAL FINALS	0	-4
1986	UAB	66	6	No. 6 UAB 66	Missouri	64	11	No. 11 Missouri 64	FIRST ROUND	-5	2
1986	North Carolina State	66	6	No. 6 North Carolina State 66	Iowa	64	11	No. 11 Iowa 64	FIRST ROUND	-5	2
1986	St. Joseph's	60	6	No. 6 St. Joseph's 60	Richmond	59	11	No. 11 Richmond 59	FIRST ROUND	-5	1
1986	Iowa State	81	7	No. 7 Iowa State 81	Miami (Ohio)	79	10	No. 10 Miami (Ohio) 79	FIRST ROUND	-3	2
1986	Navy	87	7	No. 7 Navy 87	Tulsa	68	10	No. 10 Tulsa 68	FIRST ROUND	-3	19
1986	Bradley	83	7	No. 7 Bradley 83	Texas-El Paso	65	10	No. 10 Texas-El Paso 65	FIRST ROUND	-3	18
1986	Auburn	81	8	"Auburn 81	St. John's	65	1	 St. John's 65	SECOND ROUND	
2012	Kansas	80	2	Kansas 80"	North Carolina	67	1	 North Carolina 67	REGIONAL FINALS	7	14
1986	Western Kentucky	67	8	No. 8 Western Kentucky 67	Nebraska	59	9	No. 9 Nebraska 59	FIRST ROUND	-1	8
1986	Old Dominion	72	8	No. 8 Old Dominion 72	West Virginia	64	9	No. 9 West Virginia 64	FIRST ROUND	-1	8
1986	Auburn	73	8	No. 8 Auburn 73	Arizona	63	9	No. 9 Arizona 63	FIRST ROUND	-1	10
1986	Temple	61	9	No. 9 Temple 61	Jacksonville	50	8	No. 8 Jacksonville 50	FIRST ROUND	1	11
1986	Villanova	71	10	No. 10 Villanova 71	Virginia Tech	62	7	No. 7 Virginia Tech 62	FIRST ROUND	3	9
1986	Louisiana State	59	11	"Louisiana State 59	Kentucky	57	1	 Kentucky 57	REGIONAL FINALS	
1991	Duke	79	2	Duke 79"	UNLV	77	1	 UNLV 77	NATIONAL SEMIFINALS	10	-18
1986	Louisiana State	94	11	No. 11 Louisiana State 94	Purdue	87	6	No. 6 Purdue 87	FIRST ROUND	5	7
1986	DePaul	72	12	No. 12 DePaul 72	Virginia	68	5	No. 5 Virginia 68	FIRST ROUND	7	4
1986	Arkansas-Little Rock	90	14	No. 14 Arkansas-Little Rock 90	Notre Dame	83	3	No. 3 Notre Dame 83	FIRST ROUND	11	7
1986	Cleveland State	83	14	No. 14 Cleveland State 83	Indiana	79	3	No. 3 Indiana 79	FIRST ROUND	11	4
1987	UNLV	84	1	"UNLV 84	Iowa	81	2	 Iowa 81	REGIONAL FINALS	
2000	North Carolina	60	8	North Carolina 60"	Stanford	53	1	 Stanford 53	SECOND ROUND	0	31
1987	UNLV	80	1	"UNLV 80	Kansas State	61	9	 Kansas State 61	SECOND ROUND	
1989	Illinois	89	1	Illinois 89"	Syracuse	86	2	 Syracuse 86	REGIONAL FINALS	-1	-6
1987	North Carolina	109	1	"North Carolina 109	Michigan	97	9	 Michigan 97	SECOND ROUND	
1993	California	82	6	California 82"	Duke	77	3	 Duke 77	SECOND ROUND	-2	32
1987	Indiana	107	1	"Indiana 107	Auburn	90	8	 Auburn 90	SECOND ROUND	
2003	Maryland	77	6	Maryland 77"	Xavier	64	3	 Xavier 64	SECOND ROUND	-2	43
1987	Georgetown	70	1	"Georgetown 70	Kansas	57	5	 Kansas 57	REGIONAL SEMIFINALS	
1995	Arkansas	68	2	Arkansas 68"	Virginia	61	4	 Virginia 61	REGIONAL FINALS	-3	9
1987	Indiana	88	1	"Indiana 88	Duke	82	5	 Duke 82	REGIONAL SEMIFINALS	
2003	Texas	82	1	Texas 82"	Connecticut	78	5	 Connecticut 78	REGIONAL SEMIFINALS	-4	10
1987	UNLV	95	1	No. 1 UNLV 95	Idaho State	70	16	No. 16 Idaho State 70	FIRST ROUND	-15	25
1987	North Carolina	113	1	No. 1 North Carolina 113	Penn	82	16	No. 16 Penn 82	FIRST ROUND	-15	31
1987	Georgetown	75	1	No. 1 Georgetown 75	Bucknell	53	16	No. 16 Bucknell 53	FIRST ROUND	-15	22
1987	Indiana	92	1	No. 1 Indiana 92	Fairfield	58	16	No. 16 Fairfield 58	FIRST ROUND	-15	34
1987	Alabama	101	2	"Alabama 101	New Orleans	76	7	 New Orleans 76	SECOND ROUND	
1982	Georgetown	69	1	Georgetown 69"	Oregon State	45	2	 Oregon State 45	REGIONAL FINALS	0	56
1987	Syracuse	104	2	"Syracuse 104	Western Kentucky	86	10	 Western Kentucky 86	SECOND ROUND	
1987	Providence	103	6	Providence 103"	Alabama	82	2	 Alabama 82	REGIONAL SEMIFINALS	0	22
1987	Iowa	84	2	"Iowa 84	UTEP	82	NA	 UTEP 82	SECOND ROUND	
1987	Oklahoma	96	6	Oklahoma 96"	Pittsburgh	93	3	 Pittsburgh 93	SECOND ROUND	-1	-9
1987	Syracuse	87	2	"Syracuse 87	Florida	81	6	 Florida 81	REGIONAL SEMIFINALS	
2001	Duke	94	1	Duke 94"	Missouri	81	9	 Missouri 81	SECOND ROUND	-7	6
1987	Iowa	99	2	No. 2 Iowa 99	Santa Clara	76	15	No. 15 Santa Clara 76	FIRST ROUND	-13	23
1987	Alabama	88	2	No. 2 Alabama 88	North Carolina A&T	71	15	No. 15 North Carolina A&T 71	FIRST ROUND	-13	17
1987	Syracuse	79	2	No. 2 Syracuse 79	Georgia Southern	73	15	No. 15 Georgia Southern 73	FIRST ROUND	-13	6
1987	Temple	75	2	No. 2 Temple 75	Southern (La.)	56	15	No. 15 Southern (La.) 56	FIRST ROUND	-13	19
1987	DePaul	83	3	"DePaul 83	St. John's	75	6	 St. John's 75	SECOND ROUND	
1988	Kansas	66	6	Kansas 66"	Duke	59	2	 Duke 59	NATIONAL SEMIFINALS	1	24
1987	Pittsburgh	93	3	No. 3 Pittsburgh 93	Marist	68	14	No. 14 Marist 68	FIRST ROUND	-11	25
1987	Purdue	104	3	No. 3 Purdue 104	Northeastern	95	14	No. 14 Northeastern 95	FIRST ROUND	-11	9
1987	DePaul	76	3	No. 3 DePaul 76	Louisiana Tech	62	14	No. 14 Louisiana Tech 62	FIRST ROUND	-11	14
1987	Texas Christian	76	4	No. 4 Texas Christian 76	Marshall	60	13	No. 13 Marshall 60	FIRST ROUND	-9	16
1987	UCLA	92	4	No. 4 UCLA 92	Central Michigan	73	13	No. 13 Central Michigan 73	FIRST ROUND	-9	19
1987	Notre Dame	58	5	"Notre Dame 58	Texas Christian	57	4	 Texas Christian 57	SECOND ROUND	
1984	Wake Forest	73	4	Wake Forest 73"	DePaul	71	1	 DePaul 71	REGIONAL SEMIFINALS	4	-13
1987	Kansas	67	5	"Kansas 67	Southwest Missouri State	63	13	 Southwest Missouri State 63	SECOND ROUND	
1983	North Carolina	64	2	North Carolina 64"	Ohio State	51	3	 Ohio State 51	REGIONAL SEMIFINALS	2	16
1987	Notre Dame	84	5	No. 5 Notre Dame 84	Middle Tennessee State	71	12	No. 12 Middle Tennessee State 71	FIRST ROUND	-7	13
1987	Duke	58	5	No. 5 Duke 58	Texas A&M	51	12	No. 12 Texas A&M 51	FIRST ROUND	-7	7
1987	Kansas	66	5	No. 5 Kansas 66	Houston	55	12	No. 12 Houston 55	FIRST ROUND	-7	11
1987	Florida	85	6	"Florida 85	Purdue	66	3	 Purdue 66	SECOND ROUND	
1999	Gonzaga	82	10	Gonzaga 82"	Stanford	74	2	 Stanford 74	SECOND ROUND	4	11
1987	Providence	88	6	"Providence 88	Georgetown	73	1	 Georgetown 73	REGIONAL FINALS	
2003	Arizona	96	1	Arizona 96"	Gonzaga	95	9	 Gonzaga 95	SECOND ROUND	-3	-7
1987	Florida	82	6	No. 6 Florida 82	North Carolina State	70	11	No. 11 North Carolina State 70	FIRST ROUND	-5	12
1987	Providence	90	6	No. 6 Providence 90	UAB	68	11	No. 11 UAB 68	FIRST ROUND	-5	22
1987	St. John's	57	6	No. 6 St. John's 57	Wichita State	55	11	No. 11 Wichita State 55	FIRST ROUND	-5	2
1987	Oklahoma	74	6	No. 6 Oklahoma 74	Tulsa	69	11	No. 11 Tulsa 69	FIRST ROUND	-5	5
1987	Texas-El Paso	98	7	No. 7 Texas-El Paso 98	Arizona	91	10	No. 10 Arizona 91	FIRST ROUND	-3	7
1987	New Orleans	83	7	No. 7 New Orleans 83	Brigham Young	79	10	No. 10 Brigham Young 79	FIRST ROUND	-3	4
1987	Auburn	62	8	No. 8 Auburn 62	San Diego	61	9	No. 9 San Diego 61	FIRST ROUND	-1	1
1987	Ohio State	91	9	No. 9 Ohio State 91	Kentucky	77	8	No. 8 Kentucky 77	FIRST ROUND	1	14
1987	Michigan	97	9	No. 9 Michigan 97	Navy	82	8	No. 8 Navy 82	FIRST ROUND	1	15
1987	Kansas State	82	9	No. 9 Kansas State 82	Georgia	79	8	No. 8 Georgia 79	FIRST ROUND	1	3
1987	Western Kentucky	64	10	No. 10 Western Kentucky 64	West Virginia	62	7	No. 7 West Virginia 62	FIRST ROUND	3	2
1987	Louisiana State	85	10	No. 10 Louisiana State 85	Georgia Tech	79	7	No. 7 Georgia Tech 79	FIRST ROUND	3	6
1987	Wyoming	64	12	No. 12 Wyoming 64	Virginia	60	5	No. 5 Virginia 60	FIRST ROUND	7	4
1987	Xavier	70	13	No. 13 Xavier 70	Missouri	69	4	No. 4 Missouri 69	FIRST ROUND	9	1
1987	Southwest Missouri State	65	13	No. 13 Southwest Missouri State 65	Clemson	60	4	No. 4 Clemson 60	FIRST ROUND	9	5
1987	Austin Peay	68	14	No. 14 Austin Peay 68	Illinois	67	3	No. 3 Illinois 67	FIRST ROUND	11	1
1988	Arizona	70	1	"Arizona 70	North Carolina	52	2	 North Carolina 52	REGIONAL FINALS	
1999	o.	9	NA	No. 9	Mississippi	72	NA	 Mississippi 72	FIRST ROUND	
1998	Rhode Island	80	8	Rhode Island 80"	Kansas	75	1	 Kansas 75	SECOND ROUND	0	-5
1988	Arizona	84	1	"Arizona 84	Seton Hall	55	8	 Seton Hall 55	SECOND ROUND	
1983	North Carolina State	54	6	North Carolina State 54"	Houston	52	1	 Houston 52	NATIONAL CHAMPIONSHIP	0	32
1988	Oklahoma	86	1	"Oklahoma 86	Arizona	78	1	 Arizona 78	NATIONAL SEMIFINALS	
1984	Houston	68	2	Houston 68"	Wake Forest	63	4	 Wake Forest 63	REGIONAL FINALS	-3	23
1988	Purdue	100	1	"Purdue 100	Memphis State	73	9	 Memphis State 73	SECOND ROUND	
1997	Arizona	96	4	Arizona 96"	Providence	92	10	 Providence 92	REGIONAL FINALS	-9	8
1988	Temple	74	1	"Temple 74	Georgetown	53	8	 Georgetown 53	SECOND ROUND	
2001	Maryland	79	3	Maryland 79"	Georgia State	60	11	 Georgia State 60	SECOND ROUND	-10	14
1988	Oklahoma	94	1	No. 1 Oklahoma 94	Tennessee-Chattanooga	66	16	No. 16 Tennessee-Chattanooga 66	FIRST ROUND	-15	28
1988	Temple	87	1	No. 1 Temple 87	Lehigh	73	16	No. 16 Lehigh 73	FIRST ROUND	-15	14
1988	Purdue	94	1	No. 1 Purdue 94	Fairleigh Dickinson	79	16	No. 16 Fairleigh Dickinson 79	FIRST ROUND	-15	15
1988	Arizona	90	1	No. 1 Arizona 90	Cornell	50	16	No. 16 Cornell 50	FIRST ROUND	-15	40
1988	North Carolina	78	2	"North Carolina 78	Michigan	69	3	 Michigan 69	REGIONAL SEMIFINALS	
1997	Kentucky	78	1	Kentucky 78"	Minnesota	69	1	 Minnesota 69	NATIONAL SEMIFINALS	1	9
1988	Duke	94	2	"Duke 94	Southern Methodist	79	7	 Southern Methodist 79	SECOND ROUND	
2009	Michigan State	64	2	Michigan State 64"	Louisville	52	1	 Louisville 52	REGIONAL FINALS	1	42
1988	Duke	63	2	"Duke 63	Temple	53	1	 Temple 53	REGIONAL FINALS	
1984	Kentucky	72	1	Kentucky 72"	Louisville	67	5	 Louisville 67	REGIONAL SEMIFINALS	-3	-4
1988	North Carolina	83	2	No. 2 North Carolina 83	North Texas	65	15	No. 15 North Texas 65	FIRST ROUND	-13	18
1988	Kentucky	99	2	No. 2 Kentucky 99	Southern (La.)	84	15	No. 15 Southern (La.) 84	FIRST ROUND	-13	15
1988	Duke	85	2	No. 2 Duke 85	Boston University	69	15	No. 15 Boston University 69	FIRST ROUND	-13	16
1988	Pittsburgh	108	2	No. 2 Pittsburgh 108	Eastern Michigan	90	15	No. 15 Eastern Michigan 90	FIRST ROUND	-13	18
1988	Syracuse	69	3	No. 3 Syracuse 69	North Carolina A&T	55	14	No. 14 North Carolina A&T 55	FIRST ROUND	-11	14
1988	Illinois	81	3	No. 3 Illinois 81	Texas-San Antonio	72	14	No. 14 Texas-San Antonio 72	FIRST ROUND	-11	9
